Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 231, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.723
Training Epoch 232, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.694
Training Epoch 233, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.722
Training Epoch 234, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.612
Training Epoch 235, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.585
Training Epoch 236, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.715
Training Epoch 237, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.686
Training Epoch 238, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.714
Training Epoch 239, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.604
Training Epoch 240, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.576
Training Epoch 241, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.707
Training Epoch 242, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.678
Training Epoch 243, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.707
Training Epoch 244, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.596
Training Epoch 245, Training Accuracy:  81.2%, Validation Accuracy:  75.0%,  Validation Loss: 0.568
Training Epoch 246, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.699
Training Epoch 247, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.670
Training Epoch 248, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.700
Training Epoch 249, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.588
Training Epoch 250, Training Accuracy:  81.2%, Validation Accuracy:  75.0%,  Validation Loss: 0.560
Training Epoch 251, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.692
Training Epoch 252, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.663
Training Epoch 253, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.694
Training Epoch 254, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.581
Training Epoch 255, Training Accuracy:  81.2%, Validation Accuracy:  75.0%,  Validation Loss: 0.553
Training Epoch 256, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.684
Training Epoch 257, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.656
Training Epoch 258, Training Accuracy:  81.2%, Validation Accuracy:  75.0%,  Validation Loss: 0.687
Training Epoch 259, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.575
Training Epoch 260, Training Accuracy:  81.2%, Validation Accuracy:  75.0%,  Validation Loss: 0.546
